"species","flight_type"
"Lestidae -",NA
"Archilestes californicus","percher"
"Archilestes grandis","percher"
"Lestes alacer","percher"
"Lestes australis","percher"
"Lestes congener","percher"
"Lestes disjunctus","percher"
"Lestes dryas","percher"
"Lestes eurinus","percher"
"Lestes forcipatus","percher"
"Lestes forficula","percher"
"Lestes inaequalis","percher"
"Lestes rectangularis","percher"
"Lestes sigma","percher"
"Lestes spumarius","percher"
"Lestes stultus","percher"
"Lestes tenuatus","percher"
"Lestes unguiculatus","percher"
"Lestes vidua","percher"
"Lestes vigilax","percher"
" ",NA
"Platystictidae -",NA
"Palaemnema domina",NA
" ",NA
"Calopterygidae -",NA
"Calopteryx aequabilis","percher"
"Calopteryx amata","percher"
"Calopteryx angustipennis","percher"
"Calopteryx dimidiata","percher"
"Calopteryx maculata","percher"
"Hetaerina americana","percher"
"Hetaerina calverti","percher"
"Hetaerina titia","percher"
"Hetaerina vulnerata","percher"
" ",NA
"Coenagrionidae -",NA
"Acanthagrion quadratum","percher"
"Amphiagrion abbreviatum","percher"
"Amphiagrion saucium","percher"
"Apanisagrion lais","percher"
"Argia agrioides","percher"
"Argia alberta","percher"
"Argia anceps","percher"
"Argia apicalis","percher"
"Argia barretti","percher"
"Argia bipunctulata","percher"
"Argia carlcooki","percher"
"Argia cuprea","percher"
"Argia emma","percher"
"Argia extranea","percher"
"Argia fumipennis","percher"
"Argia funebris","percher"
"Argia harknessi","percher"
"Argia hinei","percher"
"Argia immunda","percher"
"Argia lacrimans","percher"
"Argia leonorae","percher"
"Argia lugens","percher"
"Argia moesta","percher"
"Argia munda","percher"
"Argia nahuana","percher"
"Argia oculata","percher"
"Argia oenea","percher"
"Argia pallens","percher"
"Argia pima","percher"
"Argia rhoadsi","percher"
"Argia sabino","percher"
"Argia sedula","percher"
"Argia tarascana","percher"
"Argia tezpi","percher"
"Argia tibialis","percher"
"Argia tonto","percher"
"Argia translata","percher"
"Argia vivida","percher"
"Chromagrion conditum","percher"
"Coenagrion angulatum","percher"
"Coenagrion interrogatum","percher"
"Coenagrion resolutum","percher"
"Enallagma anna","percher"
"Enallagma annexum","percher"
"Enallagma antennatum","percher"
"Enallagma aspersum","percher"
"Enallagma basidens","percher"
"Enallagma boreale","percher"
"Enallagma cardenium","percher"
"Enallagma carunculatum","percher"
"Enallagma civile","percher"
"Enallagma clausum","percher"
"Enallagma concisum","percher"
"Enallagma daeckii","percher"
"Enallagma davisi","percher"
"Enallagma divagans","percher"
"Enallagma doubledayi","percher"
"Enallagma dubium","percher"
"Enallagma durum","percher"
"Enallagma ebrium","percher"
"Enallagma eiseni","percher"
"Enallagma exsulans","percher"
"Enallagma geminatum","percher"
"Enallagma hageni","percher"
"Enallagma laterale","percher"
"Enallagma minusculum","percher"
"Enallagma novaehispaniae","percher"
"Enallagma pallidum","percher"
"Enallagma pictum","percher"
"Enallagma pollutum","percher"
"Enallagma praevarum","percher"
"Enallagma recurvatum","percher"
"Enallagma semicirculare","percher"
"Enallagma signatum","percher"
"Enallagma sulcatum","percher"
"Enallagma traviatum","percher"
"Enallagma vernale","percher"
