blackbrown,brownyellow,wing_length,flight_type,sex,lat,lon,temp_indv,species,is_damselfly,wing_type
0,0.0377924415116977,44.027,flyer,M,45.4053489683189,-68.6537000533688,52,Aeshna canadensis,FALSE,fore
0.00527240773286467,0.0521382542472173,41.487,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.919690660321237,43.942,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.0107709750566893,42.355,flyer,M,45.4053489683189,-68.6537000533688,52,Aeshna canadensis,FALSE,fore
0,0.039820527201346,42.884,flyer,F,43.9365200320442,-71.8162733923962,48,Aeshna canadensis,FALSE,fore
0,0.0150699677072121,46.186,flyer,M,45.0291084533718,-84.1209651016216,59,Aeshna canadensis,FALSE,hind
0,0.013727560718057,43.371,flyer,M,44.6835411612311,-84.1251824594813,57,Aeshna canadensis,FALSE,hind
0,0.0250965250965251,42.884,flyer,F,43.9365200320442,-71.8162733923962,48,Aeshna canadensis,FALSE,hind
0.00293255131964809,0.0293255131964809,43.752,flyer,M,46.5113416961545,-91.1913524962468,39,Aeshna canadensis,FALSE,hind
0,0.028184892897407,46.122,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.908454810495627,43.201,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.018359853121175,43.455,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0.0140935297885971,0.0211402946828956,46.122,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.911379657603223,43.201,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0190249702734839,46.186,flyer,M,45.0291084533718,-84.1209651016216,59,Aeshna canadensis,FALSE,fore
0,0.0154479917610711,41.487,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0122075279755849,43.265,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0321969696969697,45.593,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.0104712041884817,43.752,flyer,M,46.5113416961545,-91.1913524962468,39,Aeshna canadensis,FALSE,fore
0,0.0224260958205912,46.927,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.00802407221664995,43.455,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0305389221556886,46.927,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.0295275590551181,41.931,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0329218106995885,43.265,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,fore
0,0.0195473251028807,44.027,flyer,M,45.4053489683189,-68.6537000533688,52,Aeshna canadensis,FALSE,hind
0,0.918891170431211,43.942,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.0230680507497117,45.593,flyer,F,NA,NA,NA,Aeshna canadensis,FALSE,hind
0,0.020979020979021,42.355,flyer,M,45.4053489683189,-68.6537000533688,52,Aeshna canadensis,FALSE,hind
0.00726392251815981,0.0242130750605327,43.371,flyer,M,44.6835411612311,-84.1251824594813,57,Aeshna canadensis,FALSE,fore
0,0.0178777393310265,41.931,flyer,M,NA,NA,NA,Aeshna canadensis,FALSE,fore
0.00864553314121038,0.0443804034582133,40.365,flyer,M,41.7899738701238,-76.527765784884,80,Aeshna clepsydra,FALSE,fore
0,0.0105708245243129,41.741,flyer,M,41.7899738701238,-76.527765784884,80,Aeshna clepsydra,FALSE,hind
